Name,Median Gross Rent(monthly),Total Household Income(yearly),Total population,Transportation To Work,Wage,Health Insurance Coverage,Employment Status,Bedrooms,Total Contract Rent,Total Rent Asked,Total Gross Rent,Aggregate Gross Rent,Median Value,Total Price Asked,Selected Monthly Owner Costs,Monthly Housing Cost,state_id,county_id,regionid
"Census Tract 116.03, Lauderdale County, Alabama",602,1696,4132,39,1132,4063,3440,2000,321,0,321,92800,149000,64,1375,1696,01,077,011603
"Census Tract 118.02, Lauderdale County, Alabama",659,1719,3717,0,988,3717,3111,2170,445,4,445,235300,136500,9,1274,1719,01,077,011802
"Census Tract 111.01, Lauderdale County, Alabama",798,2411,6010,0,1651,6006,4874,2619,600,85,600,462900,160300,15,1811,2411,01,077,011101
"Census Tract 57.01, Morgan County, Alabama",526,1038,2893,0,690,2886,2208,1234,156,0,156,61100,109900,0,882,1038,01,103,005701
"Census Tract 9730, Marengo County, Alabama",574,1695,4189,0,952,4061,3610,2139,403,15,403,198200,73800,14,1292,1695,01,091,973000
"Census Tract 208.01, Dale County, Alabama",698,1317,3339,0,946,3318,2819,1511,497,94,497,365400,92200,0,820,1317,01,045,020801
"Census Tract 9733, Marengo County, Alabama",497,780,2335,0,387,2335,1677,1083,89,0,89,22700,62700,19,691,780,01,091,973300
"Census Tract 9731, Marengo County, Alabama",550,748,1648,0,393,1648,1388,1138,184,0,184,62500,76600,9,564,748,01,091,973100
"Census Tract 9732, Marengo County, Alabama",709,973,2542,0,497,2542,1981,1280,205,0,205,73900,78200,0,768,973,01,091,973200
"Census Tract 9734, Marengo County, Alabama",585,1706,4297,0,1144,4224,3528,2110,307,24,307,156000,151400,58,1399,1706,01,091,973400
"Census Tract 9729, Marengo County, Alabama",494,2073,4732,0,1132,4716,3638,2557,1098,59,1098,524100,69600,0,975,2073,01,091,972900
"Census Tract 403.01, Houston County, Alabama",614,1597,3869,2,1195,3869,3159,1967,904,199,904,600900,121500,31,693,1597,01,069,040301
"Census Tract 403.02, Houston County, Alabama",743,1432,3701,8,1068,3683,2873,1668,763,129,763,555800,92700,15,669,1432,01,069,040302
"Census Tract 9647, Marion County, Alabama",493,2288,5416,0,1525,5278,4345,2822,701,97,701,323300,122900,138,1587,2288,01,093,964700
"Census Tract 9644, Marion County, Alabama",559,2280,5405,0,1355,5108,4597,2609,727,95,727,351800,100600,0,1553,2280,01,093,964400
"Census Tract 9645, Marion County, Alabama",374,961,2361,0,561,2355,2003,1230,194,37,194,54400,73000,35,767,961,01,093,964500
"Census Tract 9643, Marion County, Alabama",546,1904,5052,0,1321,5052,3891,2228,389,91,389,187900,88400,26,1515,1904,01,093,964300
"Census Tract 9641, Marion County, Alabama",706,1071,2580,0,617,2580,2091,1345,248,41,248,105600,83600,11,823,1071,01,093,964100
"Census Tract 9646, Marion County, Alabama",477,1357,3407,5,751,3336,2869,1658,515,70,515,218400,93300,31,842,1357,01,093,964600
"Census Tract 9642, Marion County, Alabama",304,648,1482,0,403,1476,1199,783,71,0,71,20400,99400,0,577,648,01,093,964200
"Census Tract 9640, Marion County, Alabama",483,1944,4355,0,1226,4355,3406,2136,187,0,187,57500,48400,0,1757,1944,01,093,964000
"Census Tract 51.06, Morgan County, Alabama",655,2774,6061,0,1752,6045,5045,3045,1418,191,1418,829000,145100,0,1356,2774,01,103,005106
"Census Tract 57.02, Morgan County, Alabama",501,2332,6032,0,1442,6032,5221,2771,479,132,479,155900,130600,113,1853,2332,01,103,005702
"Census Tract 51.07, Morgan County, Alabama",-666666666,1651,4626,0,1294,4626,3767,1808,246,0,246,179500,163100,0,1405,1651,01,103,005107
"Census Tract 51.08, Morgan County, Alabama",673,1631,3879,13,1251,3863,3236,1810,417,40,417,265000,168500,75,1214,1631,01,103,005108
"Census Tract 51.09, Morgan County, Alabama",611,2038,4618,0,1394,4618,3235,2204,1453,53,1453,792800,93700,37,585,2038,01,103,005109
"Census Tract 55.02, Montgomery County, Alabama",1096,903,2564,0,779,2531,1861,951,366,0,366,390100,211900,11,537,903,01,101,005502
"Census Tract 56.10, Montgomery County, Alabama",974,526,1438,0,400,1423,1117,609,208,0,208,177100,166700,49,318,526,01,101,005610
"Census Tract 56.12, Montgomery County, Alabama",1486,603,1711,0,557,1695,1220,622,136,19,136,200500,186100,0,467,603,01,101,005612
"Census Tract 56.09, Montgomery County, Alabama",1067,2109,4565,0,1835,4510,3473,2300,1250,134,1250,1322600,151500,0,859,2109,01,101,005609
"Census Tract 55.04, Montgomery County, Alabama",1769,459,1201,0,383,1194,961,553,42,0,42,75900,321400,90,417,459,01,101,005504
"Census Tract 54.07, Montgomery County, Alabama",1119,1919,4329,0,1427,4306,3766,2032,867,71,867,908100,159200,10,1052,1919,01,101,005407
"Census Tract 55.01, Montgomery County, Alabama",1279,604,1709,0,380,1402,1410,662,153,0,153,122500,169300,17,451,604,01,101,005501
"Census Tract 56.05, Montgomery County, Alabama",1302,1478,3582,0,1214,3531,2809,1587,433,80,433,651400,131100,11,1045,1478,01,101,005605
"Census Tract 56.08, Montgomery County, Alabama",-666666666,648,1861,0,518,1861,1395,648,19,0,19,,364600,0,629,648,01,101,005608
"Census Tract 54.10, Montgomery County, Alabama",876,2448,5184,0,2132,5149,4192,2785,1727,156,1727,1459600,140100,41,721,2448,01,101,005410
"Census Tract 55.03, Montgomery County, Alabama",1660,2025,5313,0,1689,5291,4191,2110,141,0,141,166600,208500,23,1884,2025,01,101,005503
"Census Tract 56.07, Montgomery County, Alabama",1652,1705,4877,0,1512,4720,3328,1761,450,0,450,734800,261600,26,1255,1705,01,101,005607
"Census Tract 56.11, Montgomery County, Alabama",1128,1509,3900,0,1335,3829,2984,1583,830,32,830,1005800,298500,32,679,1509,01,101,005611
"Census Tract 56.06, Montgomery County, Alabama",739,1780,4082,0,1504,4068,2975,2424,1054,286,1054,732400,98400,36,726,1780,01,101,005606
"Census Tract 114.02, Tuscaloosa County, Alabama",713,1061,2094,0,709,2094,1989,2420,883,46,883,697500,352000,0,178,1061,01,125,011402
"Census Tract 54.09, Montgomery County, Alabama",851,1237,2864,0,1090,2864,2274,1478,623,119,623,511800,134700,0,614,1237,01,101,005409
"Census Tract 54.08, Montgomery County, Alabama",947,3179,7746,0,2486,7648,6167,3365,509,135,509,527900,191200,51,2670,3179,01,101,005408
"Census Tract 119.01, Tuscaloosa County, Alabama",754,1307,2887,0,1027,2862,2422,1842,1007,152,1007,796200,162100,20,300,1307,01,125,011901
"Census Tract 119.02, Tuscaloosa County, Alabama",688,806,1844,15,483,1832,1468,1194,682,26,682,468100,113400,10,124,806,01,125,011902
"Census Tract 114.01, Tuscaloosa County, Alabama",737,653,2521,0,531,2521,2457,1869,480,31,480,361600,321800,0,173,653,01,125,011401
"Census Tract 207.03, Colbert County, Alabama",653,2128,4935,0,1429,4835,4021,2311,718,105,718,483500,138300,0,1410,2128,01,033,020703
"Census Tract 209.02, Colbert County, Alabama",-666666666,1378,3533,0,876,3533,2930,1801,259,0,259,175500,93400,82,1119,1378,01,033,020902
"Census Tract 207.04, Colbert County, Alabama",820,1878,4716,0,1254,4716,3800,2069,391,19,391,308200,123600,90,1487,1878,01,033,020704
"Census Tract 309.01, Elmore County, Alabama",1051,1988,6193,0,1680,5972,4812,2223,339,0,339,302000,168300,140,1649,1988,01,051,030901
"Census Tract 307.01, Elmore County, Alabama",1402,2522,7126,0,2094,7106,5284,2666,323,0,323,323600,229800,43,2199,2522,01,051,030701
"Census Tract 307.02, Elmore County, Alabama",1071,1580,4341,0,1101,4341,3604,1668,184,0,184,205500,212200,60,1396,1580,01,051,030702
"Census Tract 37.03, Mobile County, Alabama",991,1626,3497,32,1120,3405,2955,2049,1207,294,1207,1224800,230600,0,419,1626,01,097,003703
"Census Tract 56, Mobile County, Alabama",967,2622,7365,0,1932,7307,5762,2749,512,0,512,478200,151100,68,2110,2622,01,097,005600
"Census Tract 31, Mobile County, Alabama",1047,1737,4642,0,1262,4642,3773,1957,251,26,251,270500,153700,86,1486,1737,01,097,003100
"Census Tract 34.05, Mobile County, Alabama",1034,726,1916,10,472,1916,1570,797,45,0,45,39800,109200,30,681,726,01,097,003405
"Census Tract 57, Mobile County, Alabama",939,2512,7207,0,1750,7193,5767,2753,347,7,347,297000,136500,55,2165,2512,01,097,005700
"Census Tract 60, Mobile County, Alabama",763,1818,5249,22,1226,5180,3999,2171,371,53,371,263600,111800,30,1447,1818,01,097,006000
"Census Tract 64.03, Mobile County, Alabama",1065,639,1821,0,516,1821,1315,735,215,12,215,176500,105500,71,424,639,01,097,006403
"Census Tract 4.01, Mobile County, Alabama",682,485,1230,32,318,1230,947,752,269,38,269,179900,54200,36,216,485,01,097,000401
"Census Tract 5, Mobile County, Alabama",623,624,1791,28,292,1791,1487,1007,255,35,255,127500,38600,51,369,624,01,097,000500
"Census Tract 22, Mobile County, Alabama",811,852,2790,0,642,2639,2062,1074,444,92,444,353100,65600,39,408,852,01,097,002200
"Census Tract 19.01, Mobile County, Alabama",1027,780,2526,0,544,2526,1927,963,329,31,329,318900,77600,60,451,780,01,097,001901
"Census Tract 19.02, Mobile County, Alabama",701,1259,3047,0,912,3047,2433,1512,431,25,431,299500,96500,0,828,1259,01,097,001902
"Census Tract 20, Mobile County, Alabama",957,624,1588,0,400,1588,1270,784,121,11,121,85600,195600,24,503,624,01,097,002000
"Census Tract 32.02, Mobile County, Alabama",733,1179,2593,0,785,2593,2112,1339,502,104,502,382400,78600,21,677,1179,01,097,003202
"Census Tract 34.08, Mobile County, Alabama",946,1356,3574,0,942,3574,2845,1646,256,94,256,236300,114700,113,1100,1356,01,097,003408
"Census Tract 39.02, Mobile County, Alabama",736,331,891,22,172,891,718,470,173,15,173,94700,50000,0,158,331,01,097,003902
"Census Tract 48, Mobile County, Alabama",527,393,1123,6,157,1123,788,502,250,37,250,111700,41300,0,143,393,01,097,004800
"Census Tract 50, Mobile County, Alabama",847,608,1679,0,381,1679,1284,735,203,0,203,129200,75400,26,405,608,01,097,005000
"Census Tract 59, Mobile County, Alabama",927,1580,4428,0,1035,4428,3387,1726,279,0,279,121400,120800,11,1301,1580,01,097,005900
"Census Tract 61.05, Mobile County, Alabama",784,2314,7628,27,1401,7628,5773,2614,285,61,285,224900,137600,118,2029,2314,01,097,006105
"Census Tract 64.05, Mobile County, Alabama",936,3149,8592,0,2639,8533,6794,3571,1138,324,1138,1050700,186500,46,2011,3149,01,097,006405
"Census Tract 12, Mobile County, Alabama",807,420,5992,10,256,1216,5780,666,206,70,206,117600,63300,11,214,420,01,097,001200
"Census Tract 33.01, Mobile County, Alabama",871,1311,2740,0,986,2635,2254,1462,1004,128,1004,866900,255500,23,307,1311,01,097,003301
"Census Tract 7.02, Mobile County, Alabama",761,883,2377,0,503,2377,1993,1085,384,45,384,198400,72400,15,499,883,01,097,000702
"Census Tract 38, Mobile County, Alabama",782,506,1236,7,291,1236,1018,619,194,41,194,122100,81300,9,312,506,01,097,003800
"Census Tract 32.03, Mobile County, Alabama",777,1373,2946,14,1102,2946,2436,1735,839,186,839,688300,149700,69,534,1373,01,097,003203
"Census Tract 58, Mobile County, Alabama",605,1593,4045,7,916,4014,3375,1900,442,23,442,224600,80100,35,1151,1593,01,097,005800
"Census Tract 24, Mobile County, Alabama",929,1248,3151,0,853,3151,2340,1653,575,145,575,483000,70900,83,673,1248,01,097,002400
"Census Tract 37.10, Mobile County, Alabama",982,1705,4132,0,1292,4088,3522,2075,565,257,565,523100,124000,40,1140,1705,01,097,003710
"Census Tract 34.02, Mobile County, Alabama",804,1502,4488,0,1106,4473,3162,1621,544,15,544,402300,81800,39,958,1502,01,097,003402
"Census Tract 49, Mobile County, Alabama",708,1202,3522,0,708,3522,2499,1524,716,50,716,484800,59700,36,486,1202,01,097,004900
"Census Tract 68.01, Mobile County, Alabama",1179,3052,8543,0,2308,8520,6866,3295,310,57,310,398200,189400,91,2742,3052,01,097,006801
"Census Tract 71.01, Mobile County, Alabama",816,1640,4736,0,1234,4736,3517,1871,377,77,377,278300,113100,0,1263,1640,01,097,007101
"Census Tract 207, Walker County, Alabama",597,1207,2915,35,852,2915,2553,1459,308,29,308,151200,127800,0,899,1207,01,127,020700
"Census Tract 218, Walker County, Alabama",657,1412,3678,0,819,3674,2938,1781,450,33,450,247700,91500,0,962,1412,01,127,021800
"Census Tract 113.01, Jefferson County, Alabama",428,1202,3189,0,842,3189,2592,1465,285,0,285,131000,113400,62,917,1202,01,073,011301
"Census Tract 309.02, Elmore County, Alabama",874,1571,4203,0,1085,4066,3306,1640,540,18,540,433100,123700,32,1031,1571,01,051,030902
"Census Tract 119.04, Jefferson County, Alabama",882,847,2298,24,612,2298,1969,1031,130,13,130,90300,113600,70,717,847,01,073,011904
"Census Tract 127.03, Jefferson County, Alabama",916,2080,6099,0,1881,6045,4365,2257,655,76,655,697600,475100,0,1425,2080,01,073,012703
"Census Tract 144.10, Jefferson County, Alabama",1152,2109,5337,0,1655,5337,4200,2125,844,0,844,1006400,369300,0,1265,2109,01,073,014410
"Census Tract 129.12, Jefferson County, Alabama",955,2306,4569,54,1937,4555,3553,2878,2087,422,2087,2084400,155400,0,219,2306,01,073,012912
"Census Tract 144.08, Jefferson County, Alabama",1062,1687,3537,0,1454,3484,2830,2174,1363,440,1363,1565300,324400,0,324,1687,01,073,014408
"Census Tract 9576.01, Clarke County, Alabama",568,359,1122,0,226,1122,825,544,87,0,87,15100,100900,0,272,359,01,025,957601
"Census Tract 9580.02, Clarke County, Alabama",794,541,1635,0,262,1635,1320,831,129,0,129,24900,50500,0,412,541,01,025,958002
"Census Tract 9580.01, Clarke County, Alabama",554,486,1219,0,300,1219,956,610,139,0,139,37300,76700,0,347,486,01,025,958001
"Census Tract 9576.02, Clarke County, Alabama",530,2114,5217,0,1211,5139,4273,2374,955,25,955,458400,113100,0,1159,2114,01,025,957602
"Census Tract 404.02, St. Clair County, Alabama",570,1418,3810,0,950,3810,3089,1611,238,26,238,96200,93200,29,1180,1418,01,115,040402
"Census Tract 404.01, St. Clair County, Alabama",629,1923,5531,0,1335,5443,4269,2254,344,69,344,203500,99900,58,1579,1923,01,115,040401
"Census Tract 402.05, St. Clair County, Alabama",541,2530,6082,0,1627,6082,4977,3190,208,0,208,136000,197600,68,2322,2530,01,115,040205
"Census Tract 402.04, St. Clair County, Alabama",797,2837,7069,0,2105,7069,5614,3321,839,19,839,690700,162100,48,1998,2837,01,115,040204
"Census Tract 401.06, St. Clair County, Alabama",902,2780,6745,0,2130,6724,5590,2907,589,37,589,521200,155300,0,2191,2780,01,115,040106
"Census Tract 401.05, St. Clair County, Alabama",770,1597,4510,0,1054,4419,3506,1743,278,0,278,230800,110400,0,1319,1597,01,115,040105
"Census Tract 201, Walker County, Alabama",378,1228,2954,0,780,2863,2335,1540,427,16,427,170700,64100,48,801,1228,01,127,020100
"Census Tract 202, Walker County, Alabama",646,1669,4470,0,1115,4220,3537,1914,535,0,535,349000,114900,22,1134,1669,01,127,020200
"Census Tract 206, Walker County, Alabama",809,908,2529,0,604,2511,2015,1159,86,0,86,53500,73500,0,822,908,01,127,020600
"Census Tract 211, Walker County, Alabama",566,1319,3220,0,783,3205,2580,1654,422,20,422,167100,57100,18,897,1319,01,127,021100
"Census Tract 212, Walker County, Alabama",904,1134,2931,8,743,2931,2616,1420,131,0,131,96200,82500,31,1003,1134,01,127,021200
"Census Tract 215, Walker County, Alabama",494,1347,3209,0,710,3104,2620,1666,430,16,430,180500,73200,16,917,1347,01,127,021500
"Census Tract 203, Walker County, Alabama",657,2724,6807,0,1794,6563,5578,3066,844,81,844,560800,163500,59,1880,2724,01,127,020300
"Census Tract 217, Walker County, Alabama",593,1743,4419,0,1095,4419,3392,2094,337,35,337,179900,89100,5,1406,1743,01,127,021700
"Census Tract 213, Walker County, Alabama",334,1530,3863,0,971,3863,3066,1910,252,14,252,66400,77500,8,1278,1530,01,127,021300
"Census Tract 9597, Cleburne County, Alabama",556,1352,3701,0,800,3701,2998,1549,218,0,218,90500,129000,9,1134,1352,01,029,959700
"Census Tract 9603, Conecuh County, Alabama",615,582,1640,0,360,1640,1247,873,101,0,101,28600,62300,43,481,582,01,035,960300
"Census Tract 9606, Conecuh County, Alabama",570,1392,3768,0,749,3768,2819,2333,368,61,368,205400,78500,76,1024,1392,01,035,960600
"Census Tract 9602, Conecuh County, Alabama",711,760,2015,0,451,2015,1639,1160,92,32,92,34200,79900,43,668,760,01,035,960200
"Census Tract 9595, Cleburne County, Alabama",510,1074,2886,0,676,2886,2304,1228,237,0,237,100200,82400,14,837,1074,01,029,959500
"Census Tract 216, Walker County, Alabama",709,609,1497,0,425,1497,1177,807,150,17,150,74400,69500,0,459,609,01,127,021600
"Census Tract 9596, Cleburne County, Alabama",501,1592,3837,0,860,3656,2987,1973,647,27,647,294100,99100,0,945,1592,01,029,959600
"Census Tract 9598, Cleburne County, Alabama",710,1755,4515,0,1191,4515,3554,2031,375,23,375,202600,135700,2,1380,1755,01,029,959800
"Census Tract 204, Walker County, Alabama",607,770,1834,0,458,1830,1459,1096,343,21,343,215600,77300,112,427,770,01,127,020400
"Census Tract 210, Walker County, Alabama",770,1440,3788,0,767,3788,3004,1806,153,0,153,76200,75700,4,1287,1440,01,127,021000
"Census Tract 209, Walker County, Alabama",598,1818,4844,0,1393,4844,3735,2068,406,0,406,205400,92100,42,1412,1818,01,127,020900
"Census Tract 214, Walker County, Alabama",574,1288,3497,0,885,3497,2697,1595,252,8,252,83100,66900,0,1036,1288,01,127,021400
"Census Tract 219, Walker County, Alabama",542,830,2440,0,505,2440,2009,1111,81,0,81,29300,65300,23,749,830,01,127,021900
"Census Tract 208, Walker County, Alabama",637,2167,6032,18,1346,6032,4820,2842,517,0,517,230700,83400,73,1650,2167,01,127,020800
"Census Tract 115, Talladega County, Alabama",749,2162,5633,0,1487,5633,4445,2688,191,75,191,130700,93500,89,1971,2162,01,121,011500
"Census Tract 107, Talladega County, Alabama",587,423,2864,0,264,1255,2712,538,135,26,135,67100,58400,0,288,423,01,121,010700
